"COOR1" "COOR2" "COOR1.5" "ProteinCodingGenesPCG" "GC_PROPORTION" "GC_State" "GC_PosteriorMean" "PCG_State" "PCG_PosteriorMean"
1 10000 5000 1 0.3911 2 0.409044721645274 1 1.10541406681909
10001 20000 15000 1 0.3571 2 0.404323174546145 1 0.978131640514933
20001 30000 25000 1 0.381 2 0.404424463052934 1 0.847457878063042
30001 40000 35000 0 0.444 2 0.40706960573703 1 0.704334906967574
40001 50000 45000 1 0.3979 2 0.405091284043027 1 0.774608543345283
50001 60000 55000 0 0.3982 2 0.403856826626239 1 0.830329484101707
60001 70000 65000 1 0.3913 2 0.403205835082249 1 1.26660985460058
70001 80000 75000 2 0.3936 2 0.403104546575461 2 1.72134939653648
80001 90000 85000 1 0.3736 2 0.403368317481789 2 1.79651685976028
90001 1e+05 95000 1 0.3971 2 0.406245552231739 2 1.90950416027716
100001 110000 105000 2 0.4198 2 0.410534514246559 2 2.07636648440676
110001 120000 115000 3 0.3948 2 0.412214858023652 2 2.12521889625638
120001 130000 125000 1 0.4257 2 0.416799319655947 2 2.09589886348548
130001 140000 135000 2 0.4162 2 0.420975694812533 2 2.12152706196898
140001 150000 145000 4 0.4678 3 0.428021175014924 2 2.13745346337162
150001 160000 155000 4 0.4389 2 0.423574887959618 2 2.11946650329694
160001 170000 165000 0 0.3782 2 0.413849623861699 1 1.06720787477501
170001 180000 175000 0 0.3455 2 0.413427578442611 1 0.847200308229037
180001 190000 185000 1 0.4526 3 0.436942684603607 1 0.908802426861909
190001 2e+05 195000 0 0.48 3 0.444662958649994 1 0.953190294922111
200001 210000 205000 3 0.4258 3 0.442668452904967 2 1.41492715068181
210001 220000 215000 0 0.45 3 0.443250053791198 1 1.1076463387138
220001 230000 225000 1 0.4261 3 0.441959809413389 1 1.15388012391771
230001 240000 235000 1 0.4347 3 0.442695258975222 1 1.20595215869239
240001 250000 245000 0 0.4544 3 0.444488604701995 1 1.26708206596292
250001 260000 255000 2 0.4464 3 0.444734470441335 2 1.83025850801494
260001 270000 265000 1 0.456 3 0.445618928589032 2 1.95483645106205
270001 280000 275000 5 0.4593 3 0.445771087573826 2 2.13711003692628
280001 290000 285000 3 0.4356 3 0.443078076482075 2 2.13569340283925
290001 3e+05 295000 3 0.4499 3 0.442511682813125 2 2.13062786277049
300001 310000 305000 1 0.415 3 0.438519449602448 2 2.06430363051419
310001 320000 315000 1 0.4248 3 0.438984130537893 2 2.05129635389694
320001 330000 325000 3 0.4616 3 0.441368757330372 2 2.08654049284996
330001 340000 335000 2 0.4566 3 0.438658533535857 2 1.86108103148421
340001 350000 345000 0 0.4135 2 0.422250716482769 1 1.01230257182627
350001 360000 355000 1 0.4023 2 0.414925221675365 1 0.846513455338357
360001 370000 365000 0 0.3415 2 0.412881468279426 1 0.669004911403216
370001 380000 375000 0 0.4306 2 0.425638497876526 1 0.695835102445408
380001 390000 385000 1 0.4458 3 0.437052845791157 1 1.01955745548408
390001 4e+05 395000 1 0.4418 3 0.440521472380472 2 1.35083519032023
400001 410000 405000 1 0.4356 3 0.442722294028166 2 1.70237508543144
410001 420000 415000 3 0.4671 3 0.447091975368885 2 2.10800464568371
420001 430000 425000 4 0.4613 3 0.447085216605649 2 2.13075664768749
430001 440000 435000 0 0.4387 3 0.445911647705645 2 1.94178624613913
440001 450000 445000 2 0.462 3 0.446857937465207 2 2.01347651660386
450001 460000 455000 2 0.4511 3 0.446245922144416 2 1.97449761505777
460001 470000 465000 1 0.4564 3 0.446001746095885 2 1.74508874957061
470001 480000 475000 2 0.4443 3 0.444858133665065 2 1.55530271021456
480001 490000 485000 0 0.4502 3 0.444067611254603 1 0.718243678003847
490001 5e+05 495000 0 0.4161 3 0.441702802786454 1 0.530260627485834
500001 510000 505000 0 0.4361 3 0.443591315975893 1 0.504718285613668
510001 520000 515000 1 0.4516 3 0.446645636559358 1 0.576108057938732
520001 530000 525000 0 0.4299 3 0.449492954292089 1 0.612253691310772
530001 540000 535000 0 0.5159 4 0.47405576183732 1 0.8845050058541
540001 550000 545000 4 0.5051 4 0.474794819763459 2 2.10040633558056
550001 560000 555000 1 0.4997 4 0.474773082765631 2 2.09242167072641
560001 570000 565000 4 0.5222 4 0.474773082765631 2 2.13698125200928
570001 580000 575000 5 0.4892 4 0.471729903069762 2 2.13560754622792
580001 590000 585000 1 0.4389 3 0.453041154010421 2 1.56620649985411
590001 6e+05 595000 0 0.4566 3 0.448899525570196 1 1.05132440167803
600001 610000 605000 1 0.4432 3 0.444407412731178 1 1.00371691069277
610001 620000 615000 0 0.4331 3 0.440227521538428 1 0.942114792059895
620001 630000 625000 3 0.3995 3 0.437225036592678 1 1.19036918373509
630001 640000 635000 0 0.4379 3 0.441805186977734 1 0.607832075827019
640001 650000 645000 0 0.4736 3 0.446777748237133 1 0.474325045201073
650001 660000 655000 0 0.4573 3 0.445555636269047 1 0.443674234954473
660001 670000 665000 0 0.4462 3 0.44299496583776 1 0.441699532893768
670001 680000 675000 1 0.4475 3 0.438450069977003 1 0.464322749980544
680001 690000 685000 0 0.4046 2 0.426567646255018 1 0.439381404387722
690001 7e+05 695000 0 0.3892 2 0.424186231822634 1 0.434959788903969
700001 710000 705000 0 0.4401 3 0.433933685367601 1 0.437492558938352
710001 720000 715000 0 0.4254 3 0.438692327352036 1 0.45921428160611
720001 730000 725000 1 0.4702 3 0.446936894967851 1 0.543267904103089
730001 740000 735000 1 0.4546 3 0.44775084406695 1 0.587398202329286
740001 750000 745000 0 0.4422 3 0.448359480006123 1 0.600834762003216
750001 760000 755000 1 0.4646 3 0.451432616171176 1 0.817493920707122
760001 770000 765000 0 0.4545 3 0.45195261442823 1 1.01105765096191
770001 780000 775000 3 0.4388 3 0.453477583657783 2 2.00450450071935
780001 790000 785000 3 0.4788 4 0.464101906523071 2 2.04481417974114
790001 8e+05 795000 0 0.4593 4 0.465904387651956 2 1.65897456840159
800001 810000 805000 0 0.4599 4 0.468925830349997 2 1.67953722681633
810001 820000 815000 6 0.4821 4 0.473164544926386 2 2.13753931998296
820001 830000 825000 3 0.4985 4 0.474099235832975 2 2.1328601346652
830001 840000 835000 1 0.4607 4 0.471577744084969 2 2.08091688480752
840001 850000 845000 1 0.4411 4 0.470056154237034 2 2.07907096766381
850001 860000 855000 3 0.489 4 0.473925339850354 2 2.13071371938182
860001 870000 865000 3 0.4874 4 0.474490501793872 2 2.12509011133938
870001 880000 875000 2 0.4805 4 0.474490501793872 2 1.99815111148056
880001 890000 885000 1 0.4878 4 0.473555810887284 2 1.51718237478182
890001 9e+05 895000 1 0.4585 4 0.469947469247896 1 1.08536654807236
